Pathway1,Pathway2,NES
Signal transduction,SMAD2/3/4 transcriptional activity,-1.55
Immune system,Positive regulation of IL6 production,1.63
Immune system,IL7 signaling,1.59
Immune system,IL8/CXCR2 pathway,1.57
Immune system,IL6 family signaling,1.55
Immune system,IL6 pathway,1.5
Immune system,IL8/CXCR1 pathway,1.48
Immune system,IL6 production,1.43
